year,doy,doy_cont,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,261,261,1000,681268,160.133,131.226,76.863,18.4365,18.1661,13.0202,0.356377403
2020,261,261,1030,681268,158.574,133.02,80.292,18.845,18.5581,13.5568,0.35769026
2020,261,261,1100,681268,152.533,132.871,92.3909,18.9164,18.2985,14.4793,0.351701413
2020,261,261,1130,681268,150.06,132.447,94.9847,19.9789,19.3655,15.7126,0.350860694
2020,261,261,1200,681268,154.942,134.548,88.6911,19.9252,19.5548,15.2742,0.355776637
2020,261,261,1230,681268,151.699,133.786,95.197,20.513,20.1362,16.3757,0.351437683
2020,261,261,1300,681268,150.279,132.852,95.184,21.1964,20.7446,16.9159,0.351167678
2020,261,261,1400,681268,147.696,128.108,88.6652,23.8364,23.0944,18.2648,0.351491978
2020,261,261,1430,681268,142.047,126.443,93.7076,24.6709,23.6644,19.3235,0.349099497
2020,261,261,1500,681268,141.08,123.631,87.6827,25.6993,24.3528,19.165,0.350832038
2020,261,261,1530,681268,136.658,118.905,83.6172,27.3018,25.4898,19.5955,0.350565864
2020,262,262,900,681268,153.946,137.456,98.101,19.2651,18.1454,14.7519,0.352901005
2020,262,262,930,681268,163.956,140.027,84.025,17.4801,17.4073,12.944,0.360886889
2020,262,262,1000,681268,150.91,132.494,88.5531,18.8556,18.2699,14.3703,0.356207745
2020,262,262,1030,681268,155.72,133.408,86.0577,18.1552,17.7146,13.3896,0.355578584
2020,262,262,1100,681268,153.666,133.362,86.8481,20.3109,19.6944,14.7742,0.356701057
2020,262,262,1200,681268,140.219,122.39,78.5506,19.6077,18.4155,13.6034,0.35874705
2020,262,262,1230,681268,155.236,133.318,87.6365,20.0396,19.91,15.6287,0.354389598
2020,262,262,1300,681268,152.509,131.8,88.0751,20.6134,20.1526,15.7021,0.353935627
2020,262,262,1330,681268,152.162,128.859,83.8929,21.8839,21.2151,16.2836,0.353121654
2020,262,262,1400,681268,149.396,125.731,82.1638,22.8532,21.7787,16.4351,0.351901029
2020,262,262,1430,681268,144.387,121.842,81.8857,23.6615,22.194,16.6447,0.350005329
2020,262,262,1500,681268,139.282,116.909,76.4418,25.1036,23.1399,17.0907,0.35146564
2020,262,262,1530,681268,132.557,112.923,79.4966,25.7374,23.4063,17.5703,0.347480403
2020,263,263,900,681268,158.006,132.799,77.369,24.2628,22.5741,15.1899,0.360696301
2020,263,263,930,681268,158.611,135.285,83.981,18.1749,17.8897,13.4779,0.358013322
2020,263,263,1200,681268,157.508,134.979,84.1495,19.9395,19.8614,15.1878,0.35838003
2020,263,263,1230,681268,157.846,135.666,84.7441,20.3101,20.1982,15.5198,0.358661764
2020,263,263,1300,681268,153.86,132.751,87.4884,20.9738,20.6257,16.116,0.354854886
