year,doy,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,254,1400,46969,68.4855,69.098,51.9463,10.4634,9.95848,11.1551,0.364575913655794
2020,254,1430,46969,68.8789,69.8267,53.3489,9.76072,9.26168,10.6986,0.363577526170957
2020,254,1500,46969,67.9073,68.9644,52.5823,10.7591,10.2772,11.9176,0.364016595057375
2020,254,1530,46969,70.5793,71.7606,55.6294,9.91572,9.31783,10.7354,0.362483475973295
2020,255,900,46969,82.085,82.324,74.1288,12.4915,11.3052,13.0941,0.345119306038707
2020,255,930,46969,83.2463,83.3416,73.6585,12.8476,11.416,13.4213,0.346900515470783
2020,255,1000,46969,85.2995,84.9245,74.1068,12.7754,11.4241,13.5949,0.347580002193747
2020,255,1030,46969,86.9641,86.238,74.5493,13.125,11.7445,14.0339,0.348082795899438
2020,255,1100,46969,87.2445,86.9136,76.1549,12.5809,11.3019,13.5573,0.347219680959439
2020,255,1130,46969,87.2878,87.4966,74.105,13.271,11.9275,14.5565,0.351548117356545
2020,255,1200,46969,86.5637,85.8124,72.7937,12.9438,11.8963,14.5353,0.350012114053199
2020,255,1230,46969,86.8002,85.922,70.3864,13.3378,12.279,15.2611,0.353430524465198
2020,255,1300,46969,149.476,148.501,143.584,26.7091,26.1179,25.3021,0.336309139620573
2020,255,1330,46969,84.2147,82.7143,66.5155,13.167,12.1789,15.0753,0.354321048471907
2020,255,1400,46969,81.0046,80.5889,66.6938,12.6373,11.7617,14.4571,0.353015257528562
2020,255,1430,46969,78.3613,78.2852,64.3107,12.4501,11.5984,14.0888,0.354300289829886
2020,255,1500,46969,75.298,75.4165,60.2576,12.4331,11.5619,14.1339,0.357471438166468
2020,255,1530,46969,74.2128,74.4818,59.7109,12.22,11.4164,13.842,0.357388840505649
2020,256,900,46969,87.6074,84.0664,67.7238,15.3001,14.0777,16.8334,0.351158073430978
2020,256,930,46969,90.5239,87.1563,70.5021,14.8832,13.7667,16.6701,0.351178548994026
2020,256,1000,46969,92.5809,88.7533,70.5712,14.4523,13.3197,16.1845,0.352327897694928
2020,256,1030,46969,92.1967,89.1895,70.4956,14.3473,13.2058,16.1819,0.354092673627074
2020,256,1100,46969,91.5169,88.7309,71.5956,14.0576,12.9633,16.002,0.352325691282757
2020,256,1130,46969,127.8,125.417,114.169,28.239,27.6488,32.3636,0.341376644727888
2020,256,1200,46969,92.9645,90.2028,70.9258,14.3716,13.3874,16.751,0.35499901414088
2020,256,1230,46969,92.5685,89.7642,71.2645,14.2382,13.3034,16.6268,0.353963687296232
2020,256,1300,46969,90.4807,87.397,69.5981,13.9278,12.9278,16.1333,0.353153722505392
2020,256,1330,46969,91.8751,88.6647,70.7793,14.2099,13.1512,16.1552,0.352797300324567
2020,256,1400,46969,89.5779,85.8528,68.1842,14.495,13.2723,16.2054,0.352411941962499
2020,256,1430,46969,86.193,83.3596,67.0872,14.1982,12.9607,15.5278,0.352263651338448
2020,256,1500,46969,82.7943,80.8022,65.1381,14.1748,12.834,15.199,0.353257443342634
2020,256,1530,46969,77.6614,77.207,62.8748,14.2297,12.7487,15.2957,0.354578237116016
2020,257,900,46969,94.8273,88.657,69.9974,16.6633,15.2477,17.8744,0.349757004154541
2020,257,930,46969,98.1465,91.5462,70.7489,16.5875,15.3282,18.5384,0.351503753624613
2020,257,1000,46969,117.301,110.335,86.0651,16.8419,15.6304,19.5996,0.35172015654392
2020,257,1030,46969,102.242,95.3303,73.0047,17.1904,16.2136,20.039,0.35232225946773
2020,257,1100,46969,101.57,95.2053,74.2217,16.7408,16.0328,19.9967,0.35131495920619
2020,257,1130,46969,99.6037,94.2544,71.7855,16.2977,15.5343,19.8545,0.354815248701644
2020,257,1200,46969,100.238,94.3685,72.4575,15.977,15.1915,19.2281,0.353355375490519
2020,257,1230,46969,100.939,93.5157,68.9192,16.1007,15.1788,18.7933,0.35506821290948
2020,257,1300,46969,101.23,93.1524,66.8793,16.3268,15.3435,18.7809,0.356548242624158
2020,257,1330,46969,99.3996,91.4096,66.7915,16.203,14.9676,18.2192,0.354849967410803
2020,257,1400,46969,95.8847,89.1045,65.1558,16.0353,14.9318,18.2252,0.356211397389514
2020,257,1430,46969,90.4208,85.7183,64.4835,15.8791,14.7734,17.9954,0.356235449205519
2020,257,1500,46969,85.5252,81.7701,63.1521,15.3545,14.2555,17.1374,0.354831948635567
2020,257,1530,46969,80.2904,77.6133,60.5346,14.8682,13.6792,16.4033,0.355309943357003
2020,258,900,46969,96.9334,93.1511,76.1999,16.5854,14.6949,16.5116,0.349818089230913
2020,258,1000,46969,115.103,102.175,71.0434,17.219,15.6394,17.7231,0.354378828626665
2020,258,1030,46969,114.701,101.773,68.3059,16.5913,14.9153,17.3922,0.357374238841997
2020,258,1100,46969,113.258,101.698,70.1351,15.9169,14.5216,17.3476,0.356721062144697
2020,258,1130,46969,109.351,100.058,70.2403,16.3226,15.2246,18.8288,0.357798142173072
2020,258,1200,46969,108.537,101.306,75.8967,16.346,15.4892,19.5537,0.354539463714703
2020,258,1230,46969,108.548,99.092,70.9154,16.3477,15.1991,18.7949,0.355735340259065
2020,258,1300,46969,109.779,98.2287,67.3829,16.3441,15.0962,17.7743,0.356688645146203
2020,258,1330,46969,107.37,96.8997,68.0492,16.3463,15.1445,17.8683,0.355831710542309
2020,258,1400,46969,104.431,94.2086,67.2421,16.2845,14.9296,17.3877,0.354325250665992
2020,258,1430,46969,101.726,92.496,66.0417,16.4958,14.9004,17.3455,0.355393395237215
2020,258,1500,46969,94.8931,88.2577,65.1974,15.9147,14.4242,16.823,0.355378859198496
2020,258,1530,46969,86.948,82.4566,63.3883,15.5454,14.0924,16.0745,0.354205819851035
2020,259,900,46969,118.105,98.0004,59.0044,18.5417,16.3284,17.135,0.356222860835928
2020,259,930,46969,118.68,96.2118,50.9997,13.9433,10.627,9.06886,0.361846091356813
2020,259,1000,46969,122.1,100.911,56.4944,17.5566,15.5152,16.3747,0.36103416964395
2020,259,1100,46969,121.622,100.653,54.963,17.1445,15.2343,16.5701,0.363056290984641
2020,259,1130,46969,121.727,101.004,56.7004,17.237,15.552,17.0043,0.361462598691486
2020,259,1200,46969,118.917,100.739,60.663,17.174,15.9227,18.048,0.35937271465723
2020,259,1230,46969,112.046,99.1151,64.8705,16.829,15.9231,19.2153,0.359071570066615
2020,259,1300,46969,111.547,97.8211,63.1793,16.8998,15.6217,18.319,0.358914082467857
2020,259,1330,46969,112.979,97.3088,62.1348,17.0974,15.7119,17.9525,0.357197971093441
2020,259,1400,46969,105.944,93.8247,63.2174,16.7793,15.4009,17.9948,0.356766764479187
2020,259,1430,46969,101.996,90.6676,61.7901,16.8852,15.3122,17.8918,0.356322584423021
2020,259,1500,46969,95.8025,86.5176,62.7434,16.3896,14.8816,17.4572,0.35304155861644
2020,259,1530,46969,86.863,82.3897,62.2689,15.644,14.4335,17.0719,0.355861828874714
2020,260,900,46969,100.343,89.5146,63.4015,18.6812,16.5404,17.4486,0.353450675612446
2020,260,930,46969,110.92,97.2302,64.6444,17.9986,16.6496,18.2234,0.35642274443849
2020,260,1000,46969,115.941,99.9267,52.9545,16.4673,13.5975,9.44769,0.37172041594779
2020,260,1230,46969,130.615,113.224,63.4298,19.7762,17.3248,18.8657,0.368485183005889
2020,260,1300,46969,123.467,105.44,55.5485,17.1873,16.0116,16.9726,0.370673092979394
2020,260,1330,46969,127.1,106.442,52.397,17.9488,16.6817,16.9895,0.372254222054354
2020,260,1400,46969,123.399,103.219,54.5854,17.9652,16.7062,17.1204,0.367061706935265
2020,260,1430,46969,123.316,102.794,54.4664,17.7878,16.3179,16.3752,0.36636723544817
2020,260,1500,46969,123.016,99.9337,49.5941,18.1686,15.9154,15.009,0.366670237958082
2020,260,1530,46969,116.065,96.2039,53.4897,18.0593,15.6087,15.0437,0.36199731636154
2020,261,900,46969,132.572,102.316,48.4531,19.4972,17.4057,15.2265,0.361105395581509
2020,261,930,46969,129.866,103.581,49.4452,19.8611,17.7016,16.6157,0.366150074127176
2020,261,1000,46969,149.727,121.35,68.4915,25.9695,20.7911,16.1694,0.357365303318771
2020,261,1030,46969,136.173,112.93,59.9899,31.6992,25.9933,20.6782,0.365359411361439
2020,261,1100,46969,121.71,102.855,56.0142,17.1829,15.5094,16.5786,0.366580986758819
2020,261,1130,46969,122.076,106.44,59.598,19.1138,16.9188,16.8671,0.369437097815448
2020,261,1200,46969,124.858,105.561,52.6782,17.5134,16.0238,16.6652,0.37287899703706
2020,261,1230,46969,122.755,105.992,59.0025,17.563,16.4222,18.0682,0.368348163941206
2020,261,1300,46969,122.511,106.039,59.86,17.5306,16.5254,18.1964,0.367667556603446
2020,261,1400,46969,117.642,99.3505,50.4275,12.936,11.0879,9.62881,0.371514845561289
2020,261,1430,46969,120.044,105.256,63.4334,18.067,16.9312,18.7412,0.364543901051974
2020,261,1500,46969,121.184,104.629,60.974,18.0944,16.5961,17.4102,0.364831739235042
2020,261,1530,46969,119.99,103.686,62.0026,18.4703,16.7164,17.0033,0.362946331996866
2020,262,900,46969,118.893,103.871,63.1056,20.2907,18.4298,18.9302,0.363350982405964
2020,262,930,46969,135.93,111.593,57.5589,20.4385,19.2172,18.1443,0.365780467474472
2020,262,1030,46969,126.575,104.224,53.4129,17.949,16.5229,16.5751,0.366712301631283
2020,262,1100,46969,131.408,109.84,56.321,18.5594,18.0804,19.226,0.369124471971207
2020,262,1200,46969,102.522,88.4257,42.6486,11.4497,9.47863,7.44569,0.378540670378769
2020,262,1230,46969,138.131,116.571,65.6884,20.615,17.361,19.0049,0.363840489602685
2020,262,1300,46969,127.219,106.961,57.2935,18.1413,17.3873,18.2397,0.366966465218965
2020,262,1330,46969,130.022,106.757,55.6161,17.8843,16.6871,17.0611,0.365112137652102
2020,262,1400,46969,131.748,108.601,57.8609,19.1733,17.6441,17.793,0.364176373755533
2020,262,1430,46969,128.519,105.091,59.0508,19.7918,18.0888,17.8912,0.359088063724284
2020,262,1500,46969,120.877,99.2266,52.7938,18.6067,16.5193,16.2059,0.36360405045999
2020,262,1530,46969,121.186,101.06,61.001,19.8261,17.5432,17.195,0.356791069278757
2020,263,900,46969,156.999,133.919,78.5228,15.5641,15.4793,11.4225,0.362491094648994
2020,263,930,46969,148.759,125.442,77.7389,28.7364,24.1865,16.9035,0.356430174583786
2020,263,1200,46969,136.613,114.934,60.9849,31.523,26.7349,21.6493,0.367751259951384
2020,263,1230,46969,127.72,105.495,46.1805,12.6871,10.4557,8.30185,0.377583031938596
2020,263,1300,46969,128.428,107.53,56.0594,17.9394,17.0721,17.824,0.368231482096615
2020,263,1330,46969,130.728,106.079,53.2411,18.3883,17.464,17.3234,0.365728994604688
2020,263,1400,46969,127.215,104.276,53.9781,18.4449,17.3161,17.3972,0.365279464572523
2020,263,1430,46969,125.982,102.935,54.0516,18.4001,16.7284,16.7622,0.363768276762863
2020,263,1500,46969,117.495,98.4533,60.185,18.666,16.7738,17.7644,0.356542655304521
2020,263,1530,46969,102.887,89.9168,61.8273,17.3602,15.726,17.2716,0.3531257572229
2020,264,900,46969,131.923,103.424,50.605,18.6879,16.5835,15.5872,0.361683079677708
2020,264,1030,46969,130.649,105.958,53.8024,17.6916,16.4157,17.242,0.364857335885133
2020,264,1100,46969,131.804,106.892,56.4625,17.7999,16.8181,17.8075,0.362151183177852
2020,264,1130,46969,129.887,106.625,58.676,17.9386,17.0157,18.4523,0.361210482810954
2020,264,1200,46969,128.277,106.597,59.7786,18.3282,17.4192,19.0103,0.361771794988403
2020,264,1230,46969,121.197,103.816,64.522,18.6354,17.856,20.5177,0.358561141140104
2020,264,1300,46969,119.339,104.19,67.0606,18.5273,17.7901,20.8629,0.358546899131972
2020,264,1330,46969,118.239,100.855,65.7477,18.8413,17.8818,20.1588,0.354073859269903
2020,264,1400,46969,111.015,98.5348,67.2878,18.7536,17.94,20.7138,0.355929974830009
2020,264,1430,46969,104.502,94.2548,68.3107,18.3317,17.3245,20.1666,0.352925009594953
2020,264,1500,46969,96.4588,90.1205,66.7903,18.1146,17.0321,20.1326,0.355687896259062
2020,264,1530,46969,88.1882,84.0824,66.6081,16.7387,15.8433,18.67,0.351987849900389
2020,254,1330,54194,74.3992,76.0566,57.6159,10.5619,10.3714,11.2834,0.365530728109589
2020,254,1400,54194,68.9714,70.3346,52.3722,10.2119,10.1123,10.7786,0.366941050155938
2020,254,1430,54194,69.8495,71.5214,54.4485,10.4329,10.3906,11.4395,0.365241646129035
2020,254,1500,54194,68.3873,70.1602,52.8096,10.1178,10.1045,10.826,0.366645397531631
2020,254,1530,54194,71.9535,73.8826,57.1712,11.0207,10.9528,12.1441,0.363940607061914
2020,255,900,54194,81.1014,81.7759,71.892,10.0875,9.0704,8.99871,0.348324504098279
2020,255,930,54194,82.037,82.6795,71.2129,10.391,9.17485,9.28222,0.350441699932268
2020,255,1000,54194,84.0792,84.1935,71.6614,10.4499,9.205,9.45378,0.350902602006134
2020,255,1030,54194,85.3881,85.2639,71.7237,10.4539,9.22085,9.37995,0.351784027854277
2020,255,1100,54194,86.0095,86.2745,73.7671,10.352,9.32803,9.56661,0.350636514122473
2020,255,1130,54194,85.5058,86.3834,71.0493,10.5446,9.51217,9.69521,0.355577234567596
2020,255,1200,54194,84.9581,84.8229,69.9944,10.2049,9.4852,9.80874,0.3537598102224
2020,255,1230,54194,84.9277,84.6416,67.1731,10.4802,9.68971,9.98094,0.357526155010678
2020,255,1300,54194,131.547,130.595,123.3,28.7189,27.8136,29.8515,0.338818810612232
2020,255,1330,54194,82.3771,81.5679,63.4964,10.4536,9.70571,9.97709,0.358632597231639
2020,255,1400,54194,79.3916,79.6362,63.8707,10.0859,9.57438,9.83483,0.357275620966494
2020,255,1430,54194,76.8558,77.4237,61.6718,9.88515,9.42971,9.50028,0.358523889413956
2020,255,1500,54194,73.8192,74.5957,57.692,9.81387,9.40822,9.4945,0.361927232906807
2020,255,1530,54194,72.6748,73.5487,57.0494,9.64657,9.29926,9.23367,0.361822456412045
2020,256,900,54194,84.1631,81.1744,62.6872,10.735,9.17494,9.45146,0.355989504645769
2020,256,930,54194,87.4808,84.7554,65.9565,10.7714,9.36682,9.57331,0.355827025765273
2020,256,1000,54194,89.8491,86.7475,66.5548,10.9179,9.55172,9.73536,0.356763317011541
2020,256,1030,54194,89.8706,87.5687,66.8696,11.1464,9.94531,10.2162,0.358434342752147
2020,256,1100,54194,89.1604,87.0909,67.9016,10.8452,9.78271,10.0991,0.356706391773352
2020,256,1130,54194,106.808,104.316,82.4584,12.0692,11.0413,11.605,0.355321027418537
2020,256,1200,54194,90.4456,88.4579,66.9526,11.0774,10.2275,10.5248,0.359795425047416
2020,256,1230,54194,89.9961,87.9204,67.1843,10.9088,10.0786,10.4419,0.358711191477139
2020,256,1300,54194,87.9011,85.5171,65.5233,10.6398,9.79741,10.1657,0.357899736964906
2020,256,1330,54194,88.9844,86.5687,66.4099,10.8906,10.0025,10.2156,0.357776602207776
